company_id,sentence_english
11,"we can't understand the business strategy of the division. Legislation in various countries It's taking a long time to find the material. lack of resources Product sales (profit) version control Cost reduction, measures and lack of materialization Workload for designers Lack of time (man-hours) for activities The design data check takes too much time and does not allow for timely feedback. The design process is not automated and takes a lot of man-hours. Short development time Not following the design rules. Instructions are not being followed correctly. Lack of communication with the field communication Giving up because of poor 3D modeling How to make a 3D design model is disparate. The designer's ability to design depends on his or her skills. Insufficient IT skills in the company Broad knowledge required We are experiencing problems with database linkage with overseas offices. We don't know what IT information we have on our overseas offices, but we can't control them. The quality of design data varies from person to person. Many quality check items, time consuming. First the product sells and then the paycheck reflects it. Template design information and centralized BU The design rules are naturally followed. The tools and individuals in each process can be utilized without stress Visualization of the design result process of each project Process visualization and real time Fully automated design problem detection Validity can be verified. Tools that make it easy for anyone to review design results, and infrastructure that makes it easy for the production floor to check models Highly reliable system Longer design time (duration) You can access and analyze the information you need. Immediate access to all design data at any time I know what I need to do and what my priorities are. Easy to create models Cost Control (Realistic) There's a system where highly reusable data can be used by anyone. Labor savings are achieved through design automation Information Sharing The improvement of each individual's abilities. Younger people can use the knowledge of veterans → The tool has accumulated knowledge. Unification of Design Philosophy → Unification of 3D modeling methods Communicating well (Aunko Kyu) Having the information you need at your fingertips."
12,"Differences in understanding the new product implementation process with the Region Business strategy is unclear. Not getting good marketing input (VOC) It's not designed to anticipate legal regulations. Design specifications change every time. We are not doing enough to respond to regulations. The criteria for determining change control are vague. Who will manage and maintain the drawings? The Go/NoGo of the project is not clearly shared (escalation path) Geneticization of processes (patchwork collection of processes) DesignControl is unclear Management like children's soccer. Gap between plan (budget) and reality organizational structure in progress Need to design with quality goals (of numbers) In uniters and assemblies, assembly drawings may or may not exist. I don't know the revisions to the product or components. Communication between Production and Design Lack of coordination between departments. Interdepartmental roles are unclear. The transfer of work between departments is not smooth. Design process without going back Since many of the treatment tools have the same contents on many sheets of paper, it is possible to make a single revision. Checking the drawings three times when revising them is a pain Aging workforce Inadequate global purchasing function Production and shipment disruptions due to procurement problems Unable to link target specifications to drawings and other deliverables Not registering sufficiently in line with the regulations There are no consistent rules for what to write on the drawing. I don't know (or can't remember) the numbering system, the rules for putting them on, or what the symbols mean. Failure to pass on skills and knowledge I wonder how much you think about after-service repairs. The design department is inconveniencing each department because of the schedule-first product development. There's a lot of work to be done backwards. Some of the design methods have not been established. I want the database of repair parts to be sucked out of production control (not shared). There are no guidelines/procedures on how to store 3D. The development documentation is not data-intensive There is no rational system of document control. Lack of information sharing between departments There are no rules on how to manage the original data of past review materials, handouts, and approval documents (rules on how to manage the server are not followed) There is no way to manage the 3D data. How to manage the old assets, the drawings to date Insufficient control of the raw data in the drawings There's a lot of accounting code, production code, project code (development code), etc. I can't track common parts or similar parts. An inquiry comes in because there is a part registered in the ledger with a number different from the part number. Searching for specifications is difficult because you have to check the number online and look at the original for content. I want to make a request for approval to the Quality Assurance Division and Production Engineering Group electronically. The concept of standard and common parts differs between design and production. Who maintains and manages the BOM and document management system? It's hard to rewrite old drawings. Weak management coordination (between upper and lower management) Global Operations The process for product recall is not in place. Lack of elemental development (technology) Administration's ideas are working negatively on development activities. The quality system does not fit the QSR Limitations on Funding There is a fundamental gap between top management and Japanese organizations There is no rational system of educational management. We don't have enough people. Lack of human resource development. Clarify product life spans and reduce the number of documents and records to be managed. To know that the requirements (VOC) match the product specifications. Set up a system that allows for clear requirements during development. Realize portfolio management in response to VOCs to develop and manufacture products that meet the needs of the market. Market needs are also in a state where regulatory requirements are consistently coming in as input and the design can start. visibility of the project, including in-process Alignment of design, product certification, technology and production awareness at the start of development Project and program management can be managed in a matrix way You'll be notified of what needs to be done and when to do it, by following a schedule and avoiding delays. There should be a development management tool to manage tasks from conception to commercialization (common across the globe). A state in which marketing, design, proof-of-quality, production, service, etc., are integrated and design control flows smoothly. KPIs are automatically retrieved to help management and daily meetings Visibility of the program or project  (level of completion, problems) A process map status display that is visible for everybody Redefine people and organizations into a structure that corresponds to their work and works with the system. Develop and implement clear design document management rules Common formats & processes across the globe Environmental data management also needs to be established this time Once designed, the prototype is completed automatically. The documents and data from the design are ready to be used in the FDA application as is. A clear plan for the application of changes (drawings) Ensure that design-related deliverables are clearly identified. Establishing a working standard for design Perform development in accordance with DesignControl Overseeing parts management (common parts, level ideas, product-subpart) Development of a drawing system based on the introduction of BOM Let's use IT and let each department enjoy focusing on automated operations (develop better products and make them better). Unification of various numbers Establishing an information infrastructure that allows product-related drawings, documents and data to be examined in a cold environment. Ensure BOM + minimum requirements are introduced first Quality documents are generated automatically. paperless Electronic paper and (improved searchability) electronic approval Design history files are centralized as a database, resulting in a BOM and the ability to publish BOMs and necessary documents Get the information you need, when and where you need it (even globally) Realizing traceability and transparency through centralized master data management There should be a document management and storage system that is compliant with FDA Part 11 and ISO 13485. Digitization of documents (approval, storage, revision) All the documentation you need on DesignControl is covered (and managed by IT). Reports and other information will be in an online database. A complaint-handling system that meets the legal requirements Visualization of each individual's skills and the direction of skill development"
13,"Basic information such as the rules for naming conventions and other basic information has not been developed. Cash flow improvement cost consciousness Lack of independent product development Shipping schedule not being met. It is not able to manage your business progress. Weak development review period. High inventory levels and lost costs Approach to Overseas Expansion of Development and Production Not many people can handle globalization. Interdepartmental barriers Failure to reduce product costs linked to selling prices No discontinuation of production after a product is made forever (I want a system that can't be produced). information sharing system improvement A large amount of work on alternative designs for discontinued production Many changes in orders and confusion in the back-end process The BOM is too big for me to grasp the content. Taking the initiative to work. A lot of tools Lack of Agile collaboration Quality is severely disrupted, production doesn't start up, and the cost of the workpiece increases. Bringing together global offices. Poor quality of electronic components purchased overseas Prior Disclosure of QA No young people. Transfer of technology and design know-how underachievement of cost All the peripheral work and no spirited design. The department's lack of explanation The design process is diversified across departments Mental weakness of young designers. Insufficient staff Manpower shortage (staff) Too many design roles. We don't have enough design resources. Delays in communicating business issues System integration with other business units A lot of rework (product) It's unlikely that a recurrence prevention plan will be feasible. Exhaustion of discontinued parts Too many external defects. Market Analysis We need to rethink the direction of the company in a new direction. No. 1 product share worldwide Transition to Solutions Business The system should provide real-time visibility of design progress. Visualization of business processes An open workplace and culture where you can say anything you want Easier project management division integration Globally controlled companies (including systems) Review the fundamental rules and operations to prevent wastefulness and loss of cost. First of all, reorganize your affairs, abolish the form name, abolish the model. Establish a system for rotating the right people to the right places Make it a challenging and enjoyable work environment for everyone. Specialist groups (especially in the staff sector) Stimulate communication. Younger workers are comfortable working and skills are passed on Easy to search for up-to-date data Reduced Product Lifecycle Reduced transmission loss and man-hours for each process Reliable communication of changes One tool for smooth production and information exchange at overseas sites (speed up). The information you need is readily available. Management of components that have been finalized due to discontinued production One tool to check development documents, design information (BOM, change management), quality information (knowledge), production plans, etc. All information should be shareable and retrievable. Getting information on each site is a challenge. A system that completes the production design after the development design is completed System Automation Make the system as simple as possible. Systematization of production variation management Unification of systems Ability to prioritize quality evaluation items Consistent quality of products no matter where they are manufactured Zero quality defects The time it takes to search for information is short (the tool is light) More than 90% of designers are engaged in development work. Elimination of wasted work and improved efficiency of peripheral operations. Commonality of review and evaluation results, etc. Include a development department in the selection of new hires. Process standardization to the point where it can be automated. The simplification of indirect work allows ample time for design and development A system that enables sharing of change design and quality verification evidence with related departments Operational information can be collected and analyzed. Building a mechanism for sharing performance status data"
14,"Workloads are too different for different people. Shortage of human resources and manpower The workload is high and the work doesn't get done. Information sharing doesn't work well. The top brass doesn't understand the issues on the ground. It's hard to turn tacit knowledge into formal knowledge. Too many details to trust. Value judgments that don't look at the true nature of the situation (only the surface) The designer didn't design it. We want to promote the outsourcing of our design process. Disparate attitudes and ideas between designs. The tendency to only do what you're in charge of Management is inconsistent. Sticking only to the mechanics, the purpose is unknown. Challenges at the interface of business and technology development Management and frontline consciousness are not aligned, and the company's vector is not aligned. We can't agree on anything fast enough. Organizational/management strategies cannot be broken down. The person in charge is not managing his or her time. Failure to take a holistic view of the business (sectionalism) Focus on discussing methods and not the big picture Frequent external disturbances outside of development and a lack of organization in small circles. Weak from the top down. Narrowing the scope of development work lack of new value A dead end in new value creation You're wrong about MBD. Weakening of reaching out power Decline in technology level (hollowing out) Not enough new technology. Failing to generate ideas and attractiveness of products Holistic 100 Point Theory Lack of creative ideas (brainstorming) Standardization of design procedures and evaluation methods Eliminate waste in the design process and create time for new value creation Increasing Efficiency Visualize knowledge and shift resources to creative work Define a development method that takes advantage of the advantages Elimination of backward work (inventory work) Thorough elimination of waste The development of specific products can be done in a short period of time. Visible  development as if it were a small group of people Secure resources for research and development. Clarification of roles and standards Progress/Resource Visualization Please make the connection from R&D to design easier to understand. Make the organization smaller and easier to make quick decisions. An environment where decisions based on deep insights can be naturally utilized. Simultaneous study of the vehicle you want to create (concept development) and hardware development Shared sense of purpose and problems Enactment of Laws good view I want you to have a hierarchical development style! You can't fail to delegate authority. Creating a communication environment and system that leverages, fuses and sublimates each other's strengths Systematic Evaluation Clarification of Product Strategy Policy Nice desire to get a grip. Free Proposals Strengthening management required for individual strength Create a system of preparation before promoting the project. Human resource development (management) We have an assortment of products that can embody the product hypothesis. Thinking about value from the customer's perspective High-precision targets are determined quickly. Strengthening Research and Development We need a clear vision from the top. Visualization of product strategies and market trends and presentation of policies The new value is that we should do human research again. I need a story to hypothesize a new value product."
15,"Failure to utilize existing information. Low mold utilization Weak horizontal connections, too much work sharing, disparate methods and tools. Not designed with manufacturability in mind Lack of communication between domestic and international, design and technology, etc. Lack of energy among designers and engineers. Quality issues are not being tracked (design changes) Too many design changes and lack of change management Inadequate validation due to the tight schedule There's a big difference in skills in your area of expertise. Talent isn't growing, and the generational change isn't working. Multiple locations for storing information are cumbersome. I can't see the cost, I don't know how much it will cost while designing it. Poor coordination between business units. Product planning and strategy are not yet defined. The people who have to make the decisions make them right (no looking for the culprit, no assigning blame). Monitors who are aware of the platform at the conceptualization stage Visualize all electronics and mechanics (easy, fast and cheap) The design process is common. Design for ease of reuse, information management and visualization The quality of design data appears to be linked to the quality of the factory (manufacturing) Maximizing the benefits of three dimensions (evaluation, validation and measurement analysis) The work product of those who have the know-how is available to the public. A system that allows for communication of design and technology and sharing of evaluation results Organize duplicate information (system integration) Daily changes in design data are visible to everyone. The cycle of change and countermeasures is managed. Sharing of case studies (failures, successes) so that when you need help, you know who to ask, specialist map"
16,"Development design procedures are not standardized and the output is uneven I haven't been able to decide what to do. Not understanding the work flow from a higher perspective External factors have prevented it from being executed as planned. There are many specification and design changes in the latter half of the development process Poor computer performance and reduced business efficiency. Lack of communication. Information is not well coordinated in the development process There is a shortage of system personnel. IT systems are disparate. There's a lot of pressure on the back end of the process. The environment is not conducive to business transfer. Knowledge is not being passed down. Skill improvement has stalled. Real-time tracking and management of all schedules, including product development and technical information chain of decisions Visualization and standardization of business processes Visualization of quality, cost and development process (PDCA) Design changes and specification changes are smoothly transferred to the next process. No reworked design winning hand containing a single stroke of the sword Centralized data management One source, multiple uses Detailed design and product information are created simultaneously in coordination with each other. Improving the skills (abilities) of human resources Knowledge is made visible and updated. Reuse of Information Manufacturing intervention in planning (front loading) Variation information will be ready as soon as the specifications are determined. Further improvement of communication skills Automated variation design The specifications are fixed early on."
17,"Difficult to convert from Intranet Notes to Web Strict rules make it difficult to introduce new tools. Many limitations prevent the deployment of new tools. The development department has become a subsidiary of the company. The departments that are involved are bureaucratic and inflexible. Sometimes it's difficult to relate to other companies (contractors). Lack of English language skills to communicate with overseas companies Lack of horizontal cooperation in the business Every section is not kept up to date. The management documents are not up to date. Information is not shared within the Technology Management Department There's a lot of silent design, but I don't see any measures to address the opinions that come up when you take a survey. Shortage of interim personnel Criteria for concentration and decentralization Staffing shortages due to team member retirements I feel that we are not able to share workloads and respond in the shortest possible time. Lack of human resources for planning and conceptualization (man-made) Authority and responsibility There are many rules and regulations that often put the brakes on the business. The division of roles between Corporate It and technical IT is unclear. No progress in implementing new tools (the rules are too tight. Lack of authority) Lack of knowledge of operations within the team Lack of collaboration between departments, groups and teams Lack of knowledge about ICT may cause work to be delayed Difficulty or inability to find out what you want to find out information storage standards Not enough building area for the number of people. There is a reluctance to change. A strong sense of stove-pipedness in the department, forcing responsibility to other departments We have not been able to take measures to change people's attitudes. Information is often limited. Cooperation with other departments There's a disconnect in my work. I don't have a specific job description (task) in mind. The progress of the business is interfered with by rules (e.g., confidentiality) I can see the plan and the results. Human resources trade (rotation) Centralized management of information (people, goods, and money) Information exchange with other departments The whole team will see and discuss the real thing together. Support for introduction of state-of-the-art tools in line with the times (e.g., optimization of introduction rules) Optimizing System Support Renewal and unification of business systems Revisions to the Rules Trial environment with no rules (no confidentiality) Request transfer to other business Clarify roles and authority and their responsibilities Establishment of Engineering IT Department (Delegation of authority from company-wide IS) Renewal of information management system Review the layout of the floor (work on the same floor as the collaborating department) Reviewing the rules and compromising with the current situation Visualization of roles and work promotion Personnel changes on the horizontal axis Human Resource Development (OJT) Cut out the wasteful parts of the complex approval process. Personnel exchange (e.g., seconded to each other) Making information sharing tools smarter (easier for everyone to understand) system rebuild Improving and relaxing the rules ICT rule making in deregulation. Unification of administrative departments Selection of a small number of elite, selection of themes to work on Consolidation of IT operations I know the input and output. Create a standard for information management. Regular meetings are held with different collaborating departments to share information. Increase check and action ratio."
18,"There's a lot of reporting requirements I can't prioritize. group members' proficiency level (low) Unclear area of responsibility Lack of development man-hours No past knowledge of the defective event and how to deal with it remain. Problems that did not become apparent during development occur on the race track. Unexpected defects in development testing Analysis and results do not match. The process from drafting to production to delivery to shipping is not consistent. The inability to tackle the development theme at all. Parts have not been delivered as planned. Short time from drawing to delivery Schedule ramp up in the late stages of development. Centralized component information Create an information sharing tool and have everything in there. Part changes are visible in real time. Everyone can see the progress of the development. Prompt response to changes Specification management is visible. Part information coordination tool (requirements, study documents, cost, delivery date) Development of criteria and requirements that show why. Reflects specification changes as needed (L/O, application and production) Linking verification results/requirements to changes (number of man-hours and period required) Dedicated Race Logistics System All processes from arrangement to delivery should be done mechanically. A system that can reflect speed-oriented changes. Automatic generation of a development schedule from requirements Automatic generation of test plans from changes"
19,"Global Coverage I do a lot of development work. Information is not shared across business units I'm not going to change from my current work. Insufficient coordination between departments (electronics, mechanical and software) Not enough electric designers. I don't have time to consider new technologies. Cost-related initiatives in each department Product planning is vague. Different design procedures are used by different development departments. There's a lot of rework in development. Strengthen manufacturing quality Different businesses do things differently. Dependent on others. It's hard to share information. Departments are divided vertically and interdepartmental cooperation is weak. Inadequate response to risk Lack of portfolio in new product areas. We only have a 1% share of the market opportunity.　 Cross-departmental decisions can't be made. Poorly defined requirements and a lot of rework. Information management (not enough) There is little interaction between departments. Inadequate version control of embedded software Weak goal management and low awareness of goal adherence The definition of the development process is unclear. Project management is vague (mood-oriented and family-oriented)  The department responsible for the lack of a responsible person is unclear. Optimal staffing (not done) Clarity of departmental roles and flexibility (no) No speed. The traceability of regulatory information is not possible. There's still a wall between the departments. Strengthen internal and external collaboration and concurrent engineering front-loading Standardization of the development process Linking and combining distributed product information Reflecting the Voice of the Customer (VOC) in Design Establishing ways to reuse knowledge Promotion of modularized design Enhancement of product design Reuse of Design Information in Services Designed with serviceability in mind Improving the total cost of products and services Regulatory Risk Reduction Reduction in the number of post-process design changes Reduction of manufacturing defects and rework Designed with quality in mind Interdepartmental cooperation between hardware and software Visualizing Project Progress"
20,"We can't develop new products. There's a lot of rework in the design. Short design time There are no established design standards. Don't make mistakes with your product (design, policy and construction) New demands come in during development, resulting in a total delay That's a lot of time for one site. I can't afford to miss the deadline. I'm having trouble managing my goals. a shortage of talented people Change of construction start date It's going to take some time for your people to become fully qualified. An environment that doesn't nurture talent (they quit quickly) We have not been able to establish a maintenance system after delivery to the customer. It is difficult to share information between the production and maintenance sides Increase confidence in your product. Respond quickly to customers. Differences in the level of field service technicians A lot of time is spent on service support, which interferes with design and development work. Not updating necessary data Information about problems occurring in the company is not collected and not improved. Slow to respond to customer requests Specification decisions, no decisions. We don't have all the information we need to make a decision. Information sharing within the company is not working well. Lack of communication between departments. Lack of openness between departments Classify and summarize the design specifications and determine the areas to be increased Promotion of Drawing Standardization Design period protection and variation Creation of specification information and manuals during product design Separate field design from development design. human resources development Create a manual for each part (business) and make sure everyone uses it. Properly manage the process from order to completion of product and construction Long-term human resource development Enhanced maintenance manuals Identification of discontinued parts Training of maintenance technicians and establishment of a service manual writing department Set up an axis system and make sure all employees use it (one source of data). Clarification of roles in each department and sharing of that information We meet regularly. Organizing information on service parts Creating and updating necessary information Prepare a system that allows each department to share information with each other. Reliable Operation Establish a system of communication when there is a change Match the drawing to the database Document Sharing Management Establishing communication methods Creation of a standard configuration of parts and publication of end-of-life products How to use the existing system. Sharing Information"
21,"The latest design standards are not known. Defects are not shared. It takes a long time to change the shape of the mold because we don't have the know-how on mold shape. No record of past problems and reliance on human memory Existing materials cannot be retrieved. Failure to share core materials and findings It's not possible to search for information, so it takes a long time to select the right one Difficulty in searching results. The presence or absence of substrate mold, shape and size are not controlled. Tool location data is not shared. To contact purchasing. It takes a lot of time and effort. You have to open the drawing to search for information. I can't confirm the specifics without opening the drawings one by one. Can't search for information by category (how many watts, airflow), it takes a long time. Information is not organized. I don't know if data is available or not, and whether it is mass produced or not. 2D and 3D are not linked to each other, so it is difficult to modify the data when the dimensions are changed. The conversion from a 3D model to a 2D drawing is time-consuming (automatic linkage is not possible, and there is waste from 3D to DXF to 2D). It takes time to check standards and environmental requirements. shortage of people Centralized management of design data in a database Manage various document data related to individually managed products by linking them to the product configuration. Allows access to various product configuration information related to the part Cross-search a variety of information related to products using categories and keywords. Proactively review specifications with customers, cross-functional reviews and specific feedback Automate routine processes to improve efficiency and help newcomers to work without mistakes. Automate and standardize the change process and implement changes efficiently by visualizing the change process and consolidating information. Respond flexibly to increasingly complex and diverse customer requirements Create and manage product configurations to ensure specifications are met, along with specifications. The know-how and past trouble information that are managed individually can be managed centrally and linked to CAD and configuration information. Automatically notify the relevant departments when information related to the product is registered or updated. Establishing a way to communicate with each other on the web Manage information from other systems as attributes and link information. Efficient search and information verification."
22,"The company continues to use legacy IT systems due to the lack of an IT strategy. Limited secondary use of data has not led to increased corporate competitiveness. Poorly planned human resource development does not foster the next generation of leaders. Lack of understanding of the root cause of defects leads to temporary fixes. There is a lack of awareness of security. The reliability of information is unclear. Market is in a downward trend. Too much information flow. Low awareness of service parts supply. Difficult to see what kind of products customers want. Unclear business growth strategy. It is difficult to see the cost over the product's lifetime. The roadmap is shown, but it is not clear if there is a strategy. It is unclear whether the direction of design and manufacturing is appropriate. The market demands have been raised, but there is no convincing explanation as to whether it is really necessary or not. It takes time to make a report. There is a lot of rework in the development of new products. There are many design changes after mass production. There is a lot of rework, changes afterwards, and insufficient information at the beginning. It is not possible to understand things from many angles. Lack of young people. Some tasks do not know the rules. Can't see the data you want to see, don't know how to look at it. The proposal is not prepared with the correct data. Cheap sale of equipment that cannot be recovered (project decisions). Planning and pricing are done with unclear market conditions. There are many ancillary tasks. It takes time to obtain information (cannot be obtained). There is a lot of tacit knowledge (information is subjective). Quality standards for each product category are the same. Work is not transferred to overseas plant members. There is a lot of tacit knowledge, and what is accurate is not understood. There are many cases of trying to systematize operations whose requirements have not been assessed yet. There is a lot of postponement work. Sometimes the head office and the factory do not have a common understanding of the issues. The IT infrastructure from the factory to the head office is weak (thin) and can't handle the amount of data. Data formats are not always the same, and understanding does not progress. The location of information is uneven. Old age. Language and English language skills. Disparate systems. Inconsistent data, lack of itemization, different systems. Individual work, different opinions, different methods. Unattainable goals. Information does not reach the end of the line in a timely manner. Schedule for new product launch is not met, target cost cannot be achieved. Too many meetings. Lack of awareness of information security. The method of centralized data management is not consistent among people. Resistance to changing the business process. Objectives are not thoroughly communicated. Figures (data) are not integrated. Operations are duplicated in other departments. Objectives and goals are not broken down into concrete measures. Past deficiencies are not easily applied to the next. Each person or department is carrying out similar tasks in their own way. There are many design changes. Centralized management of data and information is not done. Policy and point of victory as a company are unclear. There are many people who do not understand that our industry is a declining industry. The cost does not correspond to the market price. The reality of development and sales field is not shared. There is no system to investigate the point of cause when a defect occurs. Information is not centralized. Large number of design changes. No tolerance for globalization of bases. Exhaustion of human resources. We have not been able to pass on our manufacturing and technical know-how. Defects and design changes after mass production. Quality and productivity problems can't be identified because the factory is located far away from the production site overseas. There is a lot of wasted work due to the lack of consistency in data. Product roadmap is not fixed. There are many cases where the basis for design is not clear. Information cannot be gathered without referring to various databases. It is clear where the necessary information is located. There is a process for determining which information is to be managed centrally. Information should be shared among multiple departments. The system allows secure retrieval of information from other departments. Market changes and new product information can be seen. Data is disclosed in a secure manner. Necessary data can be extracted just like the Internet. We can easily simulate past and present products by changing conditions. Past problems and current problems can be linked. Consistent product concepts are shared. Sharing of past problem information in a form that can be easily understood by anyone Quality functions are analyzed and passed down reliably A database that enables easy confirmation of production costs is required. A system that enables anyone to trace the change history is needed. It is necessary to explain detailed strategies. It is necessary to link information on defects that have occurred. Create a manual for human resource development. Extract and utilize internal information of the product. Q&A using artificial intelligence. Centralize information. Shorten the product life cycle. Acquire the latest technology and create new product quality. Implement the process of handing down technical know-how (system). Create and implement a strategy for human resources utilization. Visualize the market's voice and create a system to feed back to new products. Clarify the rules and mechanisms concerning information security. Automate areas where ancillary work can be reduced. Double standard of quality Group quality evaluation at the development stage Periodic security-related testing. Review (delete) organizational hierarchy Examination of utilization of accumulated data (fusion of manufacturing and sales teams) Improvement in wastefulness of business operations, including the factory floor Streamlining of the system Review of information transmission channels. Implementation of human resource rotation. Introduction of a monitoring system at the manufacturing site and in the market Clarification of product roadmap Construction of information database management and coordination (feedback system) for each department. Globalization of human resources. Restructuring of the system. Business in developing countries Clarify and unify what is currently available as data and what is lacking Make the target setting more information-based and logical. Systematize the work flow among other departments. Make it easier to analyze and utilize knowledge. To match the design with the sales method of the product. Manufacturing to obtain market information quickly. Develop operations manuals. Implement a common system. Prepare training content in the form of on-the-job training. Centralize data management. Decide on things by numbers. Analyze the market and reduce the number of competitors following. Strategic recruitment and training of young people. Sharing of quality problems and countermeasures. Clarify the product concept. Actively hiring young people (for important projects). We need to focus on customers and should be more market oriented. How profitable it is for cost reduction is only shared by some people. Plan for training young people. Data encryption. Information (know-how) held by individuals is documented, systematized, and shared. Build a mother factory in Japan. Use a common system for each department. Centralized data management system, rulemaking and utilization. Build a unified database. Share production costs in real time. Handing down of know-how and tacit knowledge."
23,"Failure to reduce the cost of purchased parts The increase in raw materials and labor costs for purchased parts is not reflected in the selling price. The mold for new parts does not stand up properly We don't have the talent for the next five years. Little knowledge of how the product is used I can't make old products. The development schedule is very short. You are not informed of the delay. Departments are not managing their schedules. Lack of quality awareness Sectionalism is strong. not very cost-conscious shifting of people delivery time price Low price competitiveness. Weak differentiation from other companies (product) Few new products. Work is concentrated at one point in time. New demands are coming in from customers. Short turnaround time for estimates, etc. It's taking too long to figure out what's going on. Projects and assignments are not being done or completed as planned It's not a speedy response. defect Not on time (deadline) You don't keep your promises. defective product delay in delivery It's higher than the stipulated cost. Lack of awareness of sales You're not controlling costs. The speed of product evolution is slow. The database is weak. Customer-facing design and products are not ready Slow response time. quality profit delivery time The spirit of compliance, the system is weak. The organizational design is bullshit. Poor interdepartmental relationships. Too many projects, equipment, etc. to redo. Process validation is too lax. Insufficient number of man-hours to meet requirements Cost and patent search after development. I wouldn't invest without a sale. I can't suggest that. Clarify the rules for how information is shared. Define the rules of how to train your people. Take an interest in the work of other departments. Select a supplier that meets your requirements in terms of delivery time, cost, etc. Build and evaluate prototypes whenever possible. Share information with the back-office department when you receive an order for a product from a customer. Create a forum for information sharing and keep it operational. Creating a work ethic and environment. Spend the money you need by comparing quality and cost. Be able to keep an eye not only on your own department, but also on the activities of other departments. Enable information sharing at subcommittees as well as at DR meetings Create and operate not only a large schedule but also an internal departmental schedule Strengthen the quality and evaluation department. Replace staffing on a regular basis. Determine a project leader to oversee the multifunctional team. system standardization standardized component Design to Cost Awareness Review of delivery date management Increase in staffing, distribution of responsibilities system integration standardization keeping things neat and tidy decision to adopt or reject database enrichment standardization Review of allocation standardization raising awareness research Consolidation of processing and manufacturing sites Review of the creation of standard cost tables Centralized management of the start-up process Reducing duplication of effort Review of Organizational Roles Review your personal business design. The roles themselves are clearly divided: Purchasing -> mass production and development, Design -> elements, precedence and importance, Sales -> marketing and proposal. Removing processes that cannot be clearly explained as necessary (ISO-based) Clarification of responsibilities (to avoid duplication of effort) Organizational Change Review Review of the process systematization Release Management and Process Flow Review Removing waste and duplicate work, simplifying and using IT Expansion of core system modules Change the way we work by aligning the objectives of the collaborative organization Conduct a review of the management system. System Integration Dedicated operations Unified education on how to work Sharing the latest information"
24,"Pending specifications due to a decline in the customer's technical capabilities Technology shortage, data, new technology New products, lack of ideas Inadequate quality, design review, study, verification, lack How do you raise the level of the designer? No standardization or commonality. There are many careless mistakes in design and manufacturing. Not enough employees to see both the process and cost (including profitability figures) Skills to rely on. Lack of planning. I can't see any progress. They tend to avoid taking responsibility. poor execution shortage of personnel Female staff are isolated. We don't have any younger employees. Administration has a low rating, compared to other departments. Lack of communication. Uncooperative, low. Failure to implement defect information and countermeasure instructions in a timely manner You don't know that. Create a manual that gives the same results no matter who does it (human resource development and skill development) Drinking and communication skills are improved through communication. Create a manual that has the same results no matter who does it (project management). Manage the entire project in one place Convenient production schedule There are project management templates. All projects are managed in the same way. Reduce human operational processes and increase rulemaking and automation Visualizing the progress of the process Increasing the credibility and visibility of the plan Positive actions and decisions Securing top talent We know the cost of the product at the time of drawing and concept design phase. Standardization of products with variations. Create a manual that will have the same results no matter who does it (design and manufacturing outsourcing). Product aggregation through platform design Subdivision and specialization of operations (division of labor) To make it a semi-ordered product order for internal customers (but an order for external customers) Effective use of outsourcing It can build things without drawings. Move to standardization and platform design (drive) Building a pyramid structure for human resources and skills"
25,"Lack of communication with users Development of differentiated products Lack of ideas for new products and market development Low growth in contract rates. Difficulty in sharing policies with sales cost reduction Product development in Japan, human resource development, business theme proposals Lack of information on the status of bases Too few people familiar with the new information technology, too few electrical employees! Reduced awareness of production quality Decreased roles in grades and positions Cooperation in the workplace A large number of products Optimization of development steps Operations, countermeasures and accident reports abound. Young engineers cannot be trained. Motivating young people quality man of talent We're falling behind more and more often because we're not doing the research to stay ahead of the world's progress. Increase in material and processing costs Cultivating the quality of engineers human resources development Shortage of personnel and human resources Low growth in divisional proposals Many complaints about new products and tired engineers Struggling to find a way to increase revenue through after-sales service lack of technology If you don't value your dignity as a boss and try to develop your subordinates, they will go out of business or they will quit. Competition, increased competition Short- and medium-term quality issues Further input from maintenance sales. Clarification of policy and vision Participate in the sales and marketing of conceptual design Design Priority Disclosure Increase the verification period and number of partners' machines Strengthening Communication Screening of information Information sharing and communication between organizations Rotating personnel to increase the experience. Look deep at the user's destination, think, and build methods. Review of employee training Review the business organization, especially of engineers. Delegate or let go of important tasks! Visualization of the overall flow Enhance discussions when setting quality targets Effective DR Significantly increase staffing and make room for more human resources development Selection and Focus Communication between subordinates and supervisors Creation of a research activity department that will be recognized if it is utilized in 30% of all products. Reviewing the process of training new employees The role of the research sector, especially after 10 years. Optimism Improving the information collection system Trust and nurture them. Truly useful training and development methods Increase responsibility and motivation for manufacturing companies. Interaction and absorption with other industries A Long-Term Perspective on Human Resource Development Clarifying the division of roles between organizations We want to create an atmosphere in which engineers can feel at ease and promote management that takes this into account. Strengthen the department dedicated to cost control."
