no,company_id,question_type,classification,organization_level,sentence_english,sentence_japanese
17,0,1,BP,1,Difficulty providing accurate manufacturing information to production on time,生産現場のメンバーに、製造情報を正確かつタイムリーに提供することが難しい
18,0,1,IT,3,"Limited lifecycle traceability across requirements, system models, designs and test cases",社内のITシステムの開発要件の定義、コーディング、テスト等のトレーサビリティが限定的である
19,0,1,IT,3,"Inability to manage or rapidly implement changing product, software and service requirements",製品本体、ソフトウェア、サービス等に関する要件管理が不十分で、突然の変更に対処ができない
20,0,1,CM,3,Inability to meet local market demands / customer requirements or easily penetrate new markets,最新の需要や市場動向がわからないので、新しい事業機会があっても短期間で刈り取ることができない
21,0,1,CM,4,"Increasing product, regulation and service complexity (global, local)",グローバルやローカル市場で年々増加し続ける製品/規制/サービスの複雑性に追随できない
22,0,1,BP,2,"Duplicate or disparate parts, materials and suppliers across product lines; common cost variance",製品カテゴリをまたがって、部品やサプライヤの重複やミスマッチによる原価の不一致がある
23,0,1,BP,3,Difficult to predict / track quality and feedback and identify root cause; rising warranty repair costs,品質や不具合の根本原因の特定が難しく、保証修理にかかる自社経費が増加している
24,0,1,BP,5,Poor capture and management of quality-related feedback causing repeated problems,繰り返し発生している品質問題の対策結果を会社全体で適切に共有・管理できていない
25,0,1,HD,1,Unidentified field-failure trends; ongoing product quality and performance issues,現場で発生している不具合が特定できず、製品の品質や性能の問題が常に発生している
26,0,1,BP,2,"Poor quality, inaccurate or overly complex service information",保守サービスに関する資料や情報の品質が低く、中身も古いので現場の作業が混乱している
27,0,1,CM,2,Inability to manage and optimize product architecture to efficiently meet local demands,製品アーキテクチャ(製品基本仕様)の管理が不十分で、引き合い需要を効率的に取り込めない
28,0,1,BP,3,Inefficient warranty support process; OEMs recover little of warranty costs,保証サポートの業務効率が悪いので、保証コストはほとんど回収できていない
29,0,1,HD,1,"Poor user experience ordering parts, requesting and receiving service; slow response / resolution times",保守の部品やサービスの利用者からの評価が低く、サービス対応時間や修理の解決時間も長い
30,0,1,BP,3,High customer support call volumes; unnecessary / multiple dispatches,顧客からのサポート依頼の件数が多い、実際には訪問する必要のなかった派遣の件数も多い
31,0,1,HD,1,Lack of field technician visibility into parts / service information; inefficient service / diagnostic processes,フィールド技術者が部品やサービス情報を把握できず、効率の悪いサービス診断手順になっている
32,0,1,HD,2,High service workforce turnover or technician downtime; reliance on aging / experienced workforce,サービス担当者の入替えが多く、技術者の稼働率も低い、かつ経験豊富な人材が高齢化している
33,0,1,BP,4,Unable to balance utilization across planned / break-fix or expand service into new markets,アフターサービスや修理に関する利用率や契約率が悪く、新市場にサービス事業を拡張できない
34,0,1,CM,4,Lack of accurate and automated parts planning result in excessive and obsolete parts inventory,部品の調達計画が不正確で自動化もできず、常に部品在庫に余剰が発生している
35,0,1,BP,3,Missed service level agreement (SLA) compliance,保守サービスの現場の業務内容が、サービス品質保証契約 (SLA) に準拠していない
36,0,1,BP,3,Inefficient warranty contract sales process; low install base penetration of service contracts,保証契約を販売するプロセス(手順)の効率が悪く、サービス契約の浸透率や成約率が低い
37,0,1,BP,3,High or unscheduled product / equipment downtime; poor product performance,製品の非稼働時間が長く、保守サービスが計画的でないので、製品のパフォーマンスが悪い
38,0,1,IT,5,"Disparate and redundant data sources, lack of current “single source of truth”","データの出所が多種多様で、最新データを格納した ""唯一の正しい情報源"" という概念がない"
39,0,1,IT,3,IoT application development tools limit rapid innovation and modification,IoTアプリケーション開発ツールの機能に問題があるので、情報システムの開発スピードが遅い
40,0,1,IT,3,Long IoT project cycles; inability to securely connect products and manage data,IoTシステムの開発のプロジェクト期間が長く、安全にデータを管理する仕組みも不十分
41,0,1,HD,4,"Inability to secure, reuse and share data and intellectual property",顧客データや製品の知的財産に関する安全な管理、再利用、共有ができない
42,0,1,IT,1,"Lack of secure access on multiple platforms (desktop, mobile, cloud)",外出先のモバイル端末から、社内の情報システムやデータベースやクラウドに安全にアクセスできない
43,0,1,IT,3,Poor application / system performance; difficult scaling technology to meet evolving business needs,現行のアプリケーションやシステムが老朽化し、変化の激しい事業環境に追いついていない
44,0,2,CM,5,"Increase market share, revenue and growth",市場シェア / 収益 / 成長率 
45,0,2,CM,3,Decrease warranty costs as a percent of revenue; warranty efficiency,収益に占める保証コストの割合、保証効率
46,0,2,BP,3,Increase Service and parts revenue and profitability,サービスおよび部品による収益 / 利益率 
47,0,2,CM,4,Increase revenue from new products or new variant,新製品 ( 新バリエーション) による収益
48,0,2,BP,3,Effective useage of R&D expense; total development cost per project / budget,研究開発費、プロジェクト / 予算あたりの合計開発コスト 
49,0,2,HD,2,Cut rework costs,やり直しのコスト
50,0,2,BP,3,Reduce scrap costs,スクラップのコスト
51,0,2,BP,3,Reduce product cost and cost of goods sold (COGS),製品原価、売上原価
52,0,2,BP,3,Reduce service costs,サービス コスト
53,0,2,IT,4,Reduce IT spend ,IT 関連支出
54,0,2,BP,3,Decrease spend per supplier; material cost variance ,サプライヤあたりの支出、材料原価差異
55,0,2,BP,3,On-time delivery or time in design phase,納期の順守または設計期間
56,0,2,BP,1,Reduce time doing non-value-add activities ,付加価値を生まない作業に費やしている時間
57,0,2,HD,1,Reduce engineering time spent on rework,エンジニアがやり直し作業に費やしている時間
58,0,2,BP,3,Measure average ECO (Engineering Change Order) and software change cycle-time,平均 ECO およびソフトウェア変更サイクル時間
59,0,2,BP,3,Meausre number of ECOs to fix quality / compliance issues; ECOs after product release ,品質 / コンプライアンスに関する問題を解決するための ECO の数、製品リリース後の ECO 
60,0,2,HD,1,Visualization of field technician utilization rate ,フィールド サービス技術者の稼働率
61,0,2,IT,3,Faster software development cycle time; IoT application development time,ソフトウェア開発サイクル時間、IoT アプリケーション開発期間
62,0,2,IT,3,"Reuse of requirements, designs, processes and test assets ",要件、設計、プロセス、テスト アセットの再利用
63,0,2,BP,3,Visualization of manufacturing cycle time; overall equipment effectiveness (OEE),製造サイクル時間、総合設備効率 (OEE)
64,0,2,IT,3,Reuse of parts in BOM or software asset reuse; resource and tool reuse ,BOM の再利用部品またはソフトウェア アセットの再利用、リソースとツールの再利用
65,0,2,HD,2,Improve first time fix rate (FTFR) ,初回修理完了率 (FTFR)
66,0,2,BP,2,Reduce number of physical prototypes,物理プロトタイプ ( 実機試作) の数
67,0,2,CM,3,Evaluate number of new parts or software features introduced and introduction rate,新規部品またはソフトウェア機能の投入数や投入率
68,0,2,BP,3,"Measure product failure rate (e.g. MTBF, mean time between failure) ",製品の故障率 (MTBF、平均故障間隔)
69,0,2,BP,2,Shorter mean time to repair (MTTR),平均修理時間 (MTTR) 
70,0,2,CM,3,"Recude inventory turns, costs and parts inventory turnover rate",在庫回転数、コスト、部品の在庫回転率
71,0,2,BP,3,Measure first-time yield,歩留まり
72,0,2,CM,4,Measure number of products launched at cost target per budget ,予算内の目標コストで市場投入した製品
73,0,2,BP,4,Measure warranty and service contract renewal rate; new service business per new markets ,保証およびサービスの契約更新率、新規サービス ビジネス / 新規市場
74,0,2,BP,4,Visualization of number of days for NPI (new product introduction) or time-to-market on average,NPI ( 新製品導入) または市場投入期間の平均日数
75,0,2,BP,3,Measure SLA (Service Level Agreement) compliance; Visualization of product per part or technician availability ,SLA コンプライアンス、製品 / 部品の在庫または技術者の対応可能性
76,0,2,BP,4,"Visualization of number of recalls, exceptions, warning letters, rework and audits ",リコール、例外、警告書、再作業、監査の数
77,0,2,HD,4,Count number of occurrences of lost intellectual property (IP),IP ( 知的財産) の紛失回数
78,0,2,CM,4,Decrease of number of occurrences of non-compliance in global markets,グローバル市場におけるコンプライアンス違反の回数
79,0,2,CM,5,Reduce fines and liability or lost revenue due to compliance issues and missed SLAs,コンプライアンス問題および SLA 違反に起因する罰金および不利益、または収益減
80,0,2,CM,5,"Improve customer satisfaction, loyalty scores and net promoter score (NPS)",顧客満足度 / ロイヤリティ スコア、推奨者正味比率 (NPS) 
81,0,2,HD,2,"Measure average resolution time, customer wait time; remote fix rate",平均解決時間 / 顧客待機時間、リモート修理率
82,0,2,BP,3,Improve equipment up-time / product quality ,機器の稼働時間 / 製品の品質
83,0,2,HD,5,Improve Employee satisfaction,社員満足度
84,1,1,CM,3,New product sales targets are not being met,新商品の売上げ目標が達成できない
85,1,1,CM,3,Gap between planned volume and sales volume,計画数量と販売数量のギャップ
86,1,1,CM,4,Increased production and production capacity,増産対応、生産能力アップ
87,1,1,HD,2,Training of young people,若手層の育成
88,1,1,IT,3,Lack of efficient collection and analysis of Voice of the Customer (VOC),顧客の声（VOC）の効率良い収集、分析が不足
89,1,1,CM,3,Switching between existing and new products (how to handle existing products),既存品と新商品の切替（既存品の扱い方）
90,1,1,HD,1,Design know-how is not shared by individual designers,設計ノウハウが属人的で共有できていない
91,1,1,HD,2,Not enough personnel to do cost planning.,原価企画できる人材が少ない
92,1,1,BP,3,VE extraction (no idea),VEの抽出（アイデアがない）
93,1,1,BP,4,"Difficulty in coordinating with production bases, including those overseas",海外含めた生産拠点との連携がうまくできない
94,1,1,BP,3,Unable to meet development deadlines.,開発納期を守れない
95,1,1,CM,3,Shortening the product cycle,商品サイクルの短命化
96,1,1,BP,2,Collaboration within the Chinese design department,中国の設計部内との連携
97,1,1,BP,4,Backtracking occurs after product release.,商品リリース後に後戻りが発生
98,1,1,BP,2,Delays and setbacks due to delays in procuring prototype parts,試作部品の手配遅れによる試作遅れ、後戻り
99,1,1,CM,4,Production of parts is discontinued.,部品の生産中止
100,1,1,CM,4,Many parts are discontinued.,部品の生産中止が多い
101,1,1,CM,3,Production was suspended due to parts shortages.,部品欠品による生産停止
102,1,1,CM,3,The environment for collaboration with China is not well-developed.,中国とのコラボレーション環境が整備されていない
103,1,1,BP,2,Reduction of man-hours between production and development departments in China,中国の生産部門と開発部門との工数削減
104,1,1,BP,2,Unable to reduce the cost of goods purchased.,仕入れ商品のコストダウンができない
105,1,1,CM,4,Unable to gain a tremendous technological advantage over the competitors,競合に対する圧倒的な優位技術が獲得できない
106,1,1,IT,4,Poor coordination with global locations (information sharing and processes),グローバル拠点との連携が悪い（情報共有やプロセス）
107,1,1,BP,3,Market response costs (failure costs) are high.,市場対応コスト（失敗コスト）が大きい
108,1,1,IT,3,Development deliverables are not shared and managed,開発にかんする成果物が共有管理できていない
109,1,1,HD,2,Training of human resources for system development,システム開発の人材育成
110,1,1,CM,4,Large investments are on the rise,大型投資が増大傾向
111,1,2,CM,5,Define technology and product strategies to extend the life cycle,ライフサイクルを延ばすための技術・商品戦略の明確
112,1,2,CM,5,A roadmap that includes the life cycle through portfolio management,ポートフォリオマネジメントによってライフサイクルを含めたロードマップ
113,1,2,IT,4,Informed decisions on which products to develop,どの製品を開発するか、情報に基づいた決定
114,1,2,CM,3,Having someone to manage it.,管理する人がいること
115,1,2,IT,3,Information sharing with each functional department under development,開発中の各機能部門との情報共有
116,1,2,IT,3,We have tools to manage it.,管理するツールがある
117,1,2,BP,3,"Influence, including quality guidance to component manufacturers",部品メーカーへの品質指導含めた影響力
118,1,2,IT,4,Sharing of quality information with global bases,グローバル拠点含めた品質情報共有
119,1,2,BP,3,Setting quality standards for products developed in the fastest way possible with the latest technology,最新技術で最速で開発する商品の品質基準の設定
120,1,2,IT,2,Quality maintenance control independent of people,人に依存しない品質維持の管理
121,1,2,BP,3,Determine product requirements based on quantitative knowledge of customer needs,お客様ニーズを定量的に知って商品の要件を決定する
122,1,2,CM,3,New product specifications are not influenced by the voice of some users.,新商品の仕様が一部のユーザの声に左右されない
123,1,2,IT,3,Get more customers than your competitors with valid information,競合よりも多くの顧客を、有効な情報を入手する
124,1,2,IT,3,Developers understand the customer's application and set specifications.,開発者が顧客のアプリケーションを把握し、仕様を決める
125,1,2,IT,1,Take your time and document it for later reuse.,時間を取って、後で再利用可能なドキュメント化する
126,1,2,BP,2,Allowing design to be done with undetermined information in the early stages of design,設計初期に未確定情報でも設計ができるようにする
127,1,2,BP,3,More lateral development of designs for each model family,機種群毎の設計の横展開を多くする
128,1,2,IT,2,Methods for managing know-how,ノウハウを管理する手法
129,1,2,HD,3,Improve cost planning skills,原価企画のスキルの向上
130,1,2,CM,3,Clarification of roles and responsibilities in the development process,開発プロセスにおける役割・責任部門の明確化
131,1,2,BP,3,Establishing a review process for component selection,部材選定のレビュープロセスの確立
132,1,2,BP,4,Unifying the development process,開発プロセスの統一
133,1,2,IT,4,IT Tools for Communicating with Foreign Countries,海外とやり取りするためのITツール
134,1,2,CM,4,Strengthening Overseas Cooperation,海外連携強化
135,1,2,IT,4,Building an Information Sharing Environment with Overseas,海外との情報共有環境の構築
136,1,2,BP,3,Development of low-cost parts for BRICS,BRICS向けローコスト部材の開拓
137,1,2,CM,4,Take advantage by implementing bulk purchases like our competitors.,競合のように一括購入を実施して有利になる
138,2,1,CM,3,The service business is weak.,サービスビジネスが弱い
139,2,1,CM,5,I don't have all the information and numbers I need for management.,経営幹部の必要な情報、数字揃っていないが
140,2,1,CM,4,Regulatory Compliance,規制対応
141,2,1,CM,5,Our Core Technology Vision for the Future,当社の将来のコア技術ビジョン
142,2,1,CM,5,Core Competencies for Future Products,今後の製品のコアコンコンピタンス
143,2,1,BP,3,Unable to see product cost information as PLM,製品のコスト情報をPLMとして見ることが出来ない
144,2,1,BP,3,quality,品質
145,2,1,BP,4,Departmental interests take precedence and the company-wide perspective is less important,部門の利害が優先され全社視点が薄い
146,2,1,IT,4,There's a trauma to globalization in the information system.,情シスにグローバルに対するトラウマがある
147,2,1,BP,4,We can't solve problems across all departments.,全部門横断で問題解決できない
148,2,1,CM,5,Company-wide common (including overseas),全社共通化（海外含む）
149,2,1,HD,3,Transfer of technical skills (education),技術力の伝達（教育）
150,2,1,HD,3,Training of human resources in your department,自部門内の人材育成
151,2,1,HD,3,The right people are not in the right place,人材が適材適所に配置されていない
152,2,1,HD,2,Shortage of human resources in our department,自部内の人材不足
153,2,1,HD,4,Lack of training (growth) of the next generation of leaders,次世代リーダの育成（成長）不足
154,2,1,HD,4,Leadership Development,リーダ層の育成
155,2,1,IT,3,IT development management (getting things done),IT開発のマネジメント（やりくり）
156,2,1,HD,2,"Misperceptions of the problem, even between the person in charge and the supervisor",担当と上司間でも問題認識のズレ
157,2,1,HD,1,I have a lot of personal matters to deal with and I can't judge.,個人の担当案件が多く裁ききれない
158,2,1,HD,1,The skills required are too great.,求められるスキルが大きすぎる
159,2,1,BP,3,Difficult to grasp costs in the upstream design stage,設計上流段階での原価を把握しづらい
160,2,1,BP,3,Insufficient level of design process,設計工程のレベル不足
161,2,1,IT,3,information sharing,情報活用
162,2,1,IT,4,The nature of the design problem is not understood by the IT department.,設計問題の本質がIT部門で理解できていない
163,2,1,IT,3,information sharing,情報共有
164,2,1,BP,3,Sharing of Design Methods,設計手法の共有
165,2,1,IT,4,The information you need is scattered and difficult to gather.,必要な情報が分散していて集めにくい
166,2,1,BP,3,How to bridge the gap between business processes and tools,業務プロセスとツールのギャップの埋め方
167,2,1,IT,2,Full use of 3D data,3Dデータのフル活用
168,2,1,IT,3,The effectiveness (happiness) of IT proposals and how to show them,IT提案の効果（うれしさ）と見せ方
169,2,2,CM,4,A system for determining strategic (company-wide) business models and products,戦略的（全社的）なビジネスモデル、製品を決定する仕組み
170,2,2,IT,5,Management and IT working together by the CIO,CIOによる、経営とITが連動
171,2,2,IT,4,Mechanisms for information sharing and agreement between departments,部門間での情報共有・合意の仕組み
172,2,2,CM,4,Future Projections of Product Function Configuration,製品機能構成の将来予測
173,2,2,CM,3,Clear responsibility for the product,製品の責任者が明確
174,2,2,BP,3,Realization of effects through visualization,見える化による効果の実感
175,2,2,IT,4,"Unlike in the past, you can invest in IT.",過去とちがい、IT投資が出来きる
176,2,2,CM,4,Market demand levels and goals for the product are aligned,製品に対する市場要求レベルと目標が合っている
177,2,2,BP,4,Achieve both partial and total optimization,部分最適と全体最適の両立を実現する
178,2,2,CM,4,A company-wide system of activities without prioritizing interdepartmental interests,部門間の利害を優先せずに、全社視点での活動体制
179,2,2,BP,4,The department responsible for managing and supervising product information,製品情報を管理監督する責任部門
180,2,2,BP,4,The degree of impact of the change is visible.,変更による影響度合いが見える
181,2,2,IT,3,Digitization of Product Information,製品情報のデジタル化
182,2,2,BP,3,The number of predictions and details of the process are incorporated into the process,工程の予測数や詳細工程への落とし込み
183,2,2,IT,2,Duty to enter the required information into the system,必要な情報をシステムに登録するための入力義務
184,2,2,BP,3,Setting up project management,プロジェクトマネジメントの設置
185,2,2,BP,4,"There is no divisional cover, which is viewed centrally by product rather than as a complete division.",部門完結にせず製品で一元的に見る、部門のカベがない
186,2,2,BP,3,No unreasonable schedule and good planning.,スケジュールにムリがなく計画性がある
187,2,2,HD,4,People and organizations grow even when there is a lot of organizational change.,組織変更が多くても人や組織が育つ
188,2,2,BP,3,Design know-how can be shared and there are no barriers (tacit knowledge) between departments.,設計ノウハウの共有化が出来て、部門間の壁（暗黙知）がない
189,2,2,IT,3,The base data management is in place.,ベースとなるデータ管理が出来ている
190,2,2,BP,4,Integrated project management tools allow for centralization.,統合的なプロジェクト管理ツールで一元化が出来ている
191,2,2,BP,4,Common internal projects are made explicit.,社内共通のプロジェクトが明示化されている
192,2,2,BP,3,Project units are not obscured across the company.,プロジェクトの単位が全社で曖昧にしない
193,2,2,BP,2,Problems in the initial design (conceptual design) are shared,初期設計（構想設計）時の問題が共有出来ている
194,2,2,BP,3,No gap in man-hours or time frame with the ideal process,理想工程との工数や期間のギャップがない
195,2,2,BP,3,Not a lot of complexity.,複雑な要素が多くない
196,2,2,BP,3,Freedom vs. Completion,自由度　VS　やりきり
197,2,2,BP,4,"Timely communication of information on quality issues, including overseas",海外含め品質問題の情報がタイムリーに伝わる
198,2,2,IT,3,There is a detailed history of product information and a department to maintain it.,製品情報の詳細履歴管理があり、その整備する部門もある
199,2,2,IT,2,Information in multiple languages does not take much time for interpretation,情報が多言語でも通訳に時間がかからない
200,2,2,BP,3,Standardization of operations,業務の標準化
201,2,2,CM,3,inbound marketing,インバウンドマーケティング
202,2,2,BP,4,Shared product requirements across the board,製品要件の横断的共有
203,2,2,IT,4,Information sharing (IT) is taking center stage at each site and function,拠点毎、機能毎でも情報共有（IT化）が中心になっている
204,2,2,IT,4,"Even if the data is in a functional department, it's all consolidated.",データが機能部門にあっても集約してある
205,2,2,IT,2,Procurement analysis skills,調達の分析スキル
206,2,2,BP,4,Cooperation between headquarters,本部間の協力体制
207,2,2,IT,3,The Bottom Line of Service Department Improvement and Its IT Strategy,サービス部門改善の底上げとそのIT戦略
208,3,1,IT,2,Lots of paperwork and emails.,書類やメールが多い
209,3,1,IT,1,All sorts of information has been made personal.,各種情報が個人的になっている
210,3,1,BP,3,There are no design standards.,設計標準がない
211,3,1,IT,2,There's a lot of paperwork involved.,書類業務が多い
212,3,1,IT,3,We're not sharing information.,情報共有が出来ていない
213,3,1,BP,3,The design has not been standardized.,設計の標準化ができていない
214,3,1,IT,4,There's a gap in the level of information with the manufacturing department.,製造部門との情報レベルに差がある
215,3,1,HD,2,There's a lot of variability in training of subordinates.,部下の教育にばらつきが多い
216,3,1,BP,1,I don't have time to go to customers or partner companies.,顧客や協力会社へ行く時間が無い
217,3,1,HD,2,Improving the level of young engineers,若手技術者のレベルアップ
218,3,1,IT,1,IT systems are not being used effectively,ITシステムを効果的に使用していない
219,3,1,BP,2,Lots of meetings.,会議が多い
220,3,1,BP,3,Poor service to designers.,設計者へのサービスが悪い
221,3,1,BP,3,Just carrying out development events and not much substance.,開発イベントを遂行するだけで、中身が薄い
222,3,1,BP,4,Interdepartmental barriers,部門間の壁
223,3,1,BP,4,Poor coordination with the factory.,工場との連携が悪い
224,3,1,BP,3,Development lead time is not improved.,開発リードタイムが改善されない
225,3,1,BP,2,The costs are hard to see.,コストが見えにくい状況になっている
226,3,1,CM,3,New product development is not progressing as planned.,新製品開発が計画通りに進まない
227,3,1,CM,3,Few new development themes.,新規開発テーマが少ない
228,3,1,BP,3,Demand for lower prices,低価格の要求
229,3,1,BP,2,Inefficient business conditions,非効率な業務状況
230,3,1,BP,5,Global Coverage,グローバル対応
231,3,1,BP,5,No clear business plan or strategy for overseas expansion,海外展開のビジネスプランや戦略が明確になっていない
232,3,2,BP,4,Incorporate requirements at the conceptual stage before entering the development process,開発プロセスに入る前段階の構想段階で要件を取り込む
233,3,2,CM,4,Strengthen access to information in new markets,新規市場に対する情報入手力の強化
234,3,2,BP,4,A system that allows each department to follow up on project delays,プロジェクトの遅れに対して各部門がフォローする体制
235,3,2,CM,3,Centralized progress management from Japan,進捗管理を日本側で集中管理
236,3,2,BP,3,The current development process involves each department with a sense of participation,現在の開発プロセスは各部門の参加意識をもって参加してもらう
237,3,2,CM,4,"When developing globally, the division of roles and management between domestic and overseas development should be clear.",グローバルで開発する場合に、国内と海外とで役割分担と管理が明確にする
238,3,2,CM,4,Transferring to the plant will keep operations running as planned.,工場に移管しても業務が計画通りに進む
239,3,2,BP,3,Make sure that the details of the detailed design verification are implemented.,詳細設計の検証内容をしっかり実施する
240,3,2,HD,3,Design Education for Foreigners,外国人への設計教育
241,3,2,HD,4,Sharing of know-how between global development sites,グローバル開発拠点間でのノウハウの共有
242,3,2,BP,3,Design events effectively and efficiently,設計イベントを効果的かつ効率的に
243,3,2,BP,4,Organizational Collaboration,組織的なコラボレーション
244,3,2,BP,3,Limit schedule delays due to repeated evaluations and modifications,評価や改造の繰り返しによるスケジュール遅延の抑制
245,3,2,BP,2,There is no variation in the items to be done during the evaluation.,評価の時にやるべき項目にばらつきがない
246,3,2,BP,3,Allow enough time for product and equipment evaluation to avoid problems during the mass production phase,製品や設備の評価時間を十分にとって、量産段階で問題が発生しないようにする
247,3,2,BP,3,Sufficient validation at the product build-out stage,製品の作り込み段階で十分な検証
248,3,2,BP,3,Evaluation and verification based on design standards,設計標準に基づいた評価や検証
249,3,2,BP,4,Quality control overseas and quality control for use at customers' sites,海外における品質管理、かつ、顧客先での使い方を想定した品質管理
250,3,2,CM,4,Strengthen domestic and international procurement functions,国内国外の調達機能の強化
251,3,2,CM,5,Development of Overseas Partners,海外協力会社の開拓
252,3,2,BP,3,Considering the constraints of parts procurement,部品調達の制約を考慮
253,3,2,CM,4,Gathering information on overseas suppliers,海外の調達先の情報収集
254,3,2,CM,5,Expanding overseas with no gap between domestic and overseas,国内と海外とのギャップのない海外展開
255,3,2,HD,3,Securing personnel in other departments who can understand facility design,他部門で設備設計を理解できる人材の確保
256,4,1,CM,5,Decline in business strategy,事業戦略の衰退
257,4,1,IT,4,Information management at each production site,製造拠点毎の情報管理
258,4,1,IT,4,Product data is not shared between departments ,部門間で製品データの共有ができていない 
259,4,1,IT,4,Strengthen system integration and cooperation with each company,各社とのシステム統合及び連携強化
260,4,1,IT,3,Design data is not being used effectively throughout the entire manufacturing process.,設計データが、ものづくり全体で有効活用できていない
261,4,1,HD,4,shortage of personnel,人材不足
262,4,1,HD,3,Only a limited number of designers can be entrusted with important tasks.,重要な仕事を任せられる設計者が限られる
263,4,1,HD,3,Insufficient efforts to develop human resources capable of leading the entire product development process,製品開発全体をリードできる人材育成への取組みが不十分
264,4,1,HD,3,The quality of in-process design data varies depending on the designer and design team assigned to the project.,担当した設計者や設計チームによって、仕掛り設計データの品質にバラツキが出てしまう
265,4,1,HD,1,Design quality is dependent on the abilities and skills of some ace designers,設計品質は、一部のエース級設計者の能力やスキルに依存している
266,4,1,HD,2,It takes time to train personnel (new and mid-career),人材（新人・中途）を育てるのに時間がかかる
267,4,1,HD,1,Education in Design Skills,設計力の教育
268,4,1,BP,1,You can't see the workload of various tasks and suddenly you discover that you can't meet the deadline one day.,各種業務の作業負荷が見えず、突然、ある日に納期に間に合わないことが発覚する
269,4,1,IT,3,You're not managing resources across the design.,設計全体でのリソース管理が出来ていない
270,4,1,BP,2,"As a result, the design man-hours are exceeded because of the large number of quality check items, which are called ""product quality build-up"".",製品品質の作り込みと称して、品質チェック項目が多く、結果、設計工数が超過している
271,4,1,BP,3,Design rework due to the manufacturing phase,製造フェーズによる設計手戻り作業
272,4,1,BP,3,There is a lot of design-related rework at the production stage.,生産段階において、設計に起因する手戻りが多い
273,4,1,BP,4,Inconsistencies in the design work are not uncovered until later in the design process.,設計作業の矛盾点は、設計の後半にならないと発覚しない
274,4,1,IT,4,Inability to incorporate data on manufacturing requirements at the design stage,設計段階で製造要件のデータを取り入れることができない
275,4,1,IT,4,The exact performance of a product cannot be known until the actual product is built.,製品の性能は実際に現物を造ってみないと、正確な値がわからない。
276,4,1,IT,3,Centralization of scattered documents,点在しているドキュメントの一元化
277,4,1,IT,4,Degradation of IT infrastructure,IT基盤の劣化
278,4,1,IT,5,System integration and linkage enhancement (including BCP),システム統合及び連携強化(BCP含む)
279,4,1,IT,4,Response deterioration,レスポンス悪化
280,4,1,IT,3,More data and worse system response.,データが増えシステムのレスポンスが悪化
281,4,1,IT,3,"Development costs cannot be grasped in real time. Or, it takes a lot of man-hours to figure it out.",開発コストの推移がリアルタイムに把握できない。もしくは、把握するまでに非常に作業工数がかかる
282,4,1,IT,3,There is no system to keep track of environmental regulatory data while designing products.,環境規制データを常に把握しながら製品設計をすすめる仕組みがない
283,4,1,IT,3,Component information (discontinuation and regulatory compliance) is not shared among designers,部品情報（中止・規制対応）が設計者間で共有されていない
284,4,1,IT,5,Design data is not being used effectively throughout the entire manufacturing process.,設計データが、ものづくり全体で有効活用できていない
285,4,1,IT,4,"Design data, documents and calculations are owned by individuals and not shared with stakeholders.",設計のデータ、ドキュメント、計算書が個人持ちで、関係者と共有できていない
