topic_no,label,definition,description
11,Design and Manufacturing Outsourcing,"Use a third party to deliver a hardware / software system, sub-system, component design or design services.","Secure digital collaboration:  Identify and protect IP and sensitive data; improve global collaboration and support expanded reuse and sharing of sensitive data without compromising security. External collaboration:  Enable controlled, distributed collaboration through a single source of data, with traceability of shared items and secure data transfer and access."
12,Regulatory and Materials Compliance,"Determine product regulatory obligations, collect and assess evidence of compliance, communicate results to internal stakeholders and report on compliance to customers and regulators.","Product regulatory compliance:  Manage materials and substance regulations and product content data. Supplier data acquisition:  Automatically collect and validate product and component performance, and materials and substance content, from authoritative sources. Enterprise product compliance management:  Optimize product development through enterprise-wide sharing of regulatory compliance status. Advanced product analytics:  Simultaneously evaluate multiple dimensions of product-specific requirements to optimize the product cost-value equation."
13,Component and Supplier Management,"Enable effective identification, creation and incorporation of preferred parts and suppliers, including management of relevant characteristics.","Component classification and reuse:  Streamline part and component selection and reuse by optimizing processes to classify parts to enable rapid, efficient and effective part search and navigation. Supplier qualification and management:  Streamline and standardize the introduction and qualification of suppliers, enabling effective management and incorporation of preferred suppliers during product development. Sourcing decision optimization:  Improve evaluation of the impact of sourcing choices on different product configurations by integrating, tracking and ensuring reuse of preferred supplier parts; manage part preferences across product lines and geographies to ensure consistent use of supplier parts. New component request:  Implement a lean, controlled new part introduction process that facilitates reuse of existing parts."
14,Manufacturing Process Management,"Define and manage the manufacturing processes for parts fabrication, final product assembly and inspections.","Manufacturing BOM management:  Unite the product design and manufacturing planning BOMs to improve collaboration between design and planning. Process plan management:  Establish efficient manufacturing bills of process that connect design information with manufacturing plans. Manufacturing change management:  Provide aligned and coordinated engineering and manufacturing change management. Integration to operations:  Share rich design and planning information with enterprise systems. Manufacturing analysis /optimization:  Validate, analyze and optimize the manufacturing processes during their definition. Integral work instruction management:  Improve shop floor execution with work instructions that are visual and more accurate. Control characteristics management:  Improve quality by leveraging the design characteristics contained within planning definitions. Connected manufacturing intelligence:  Connect disparate silos of manufacturing information into unified, real-time visibility across heterogeneous manufacturing systems, people and assets to make faster and better decisions and improve operational performance."
15,Tooling Design and Manufacture,"Design and manufacture the necessary tooling (such as molds, dies, electrodes or mold bases) to produce a part.","Associative tool design:  Use a range of flexible, associative modeling techniques to develop product and tooling designs concurrently and allow non-expert CAD users to quickly prepare tooling designs. Rich 2D / 3D manufacturing documentation delivery:  Dynamically generate accurate, on-demand and rich visual shop-floor work instructions. Integral manufacturing data management:  Provide a single source for manufacturing data that can support products, processes and resources. "
16,Product Support Analysis and Planning,Leverage product design information to gain early supportability analysis and to provide feedback to improve serviceability; develop holistic service and support plans that minimize service and ownership costs.,"Integrated service / support planning:  Define holistic service programs that associate and manage all required product support information including service tasks, preventive maintenance schedules, warranty and contract policies, serviceable parts, technical information and training materials to ensure accuracy and completeness. Predictive reliability analysis:  Use digital product information to analyze and predict product and component reliability; define recommended maintenance schedules to prevent failures and minimize warranty costs, and iterate the plan based on feedback loop from product performance data. Digital service simulation / feedback:  Simulate service activities using 3D design and human factors information for early identification of serviceability issues and evaluation of service skills/time requirements. Integrated change management:  Intelligently link service information to product designs and engineering change processes to streamline change propagation and service/parts information updates."
17,Warranty and Performance-Based Contract Management,Define warranty and contract policies based on predicted reliability; automate product registration and claim validation/processing (including supplier recovery); optimize warranty and contract policies based on actual reliability and usage.,"Automated claims processing:  Automate claims processes to improve accuracy and administrative efficiency, reduce fraud and overpayments and enable early visibility into product quality issues. Optimized service and extended warranty contracts:  Optimize service and extended warranty policies/pricing based on actual product performance and usage to maximize profitability, increase contract renewal rates and identify new contract offerings. Collaborative supplier recovery:  Manage supplier contract requirements to automatically generate and submit claim and repair information to maximize recovery of warranty dollars and exchange repair/quality information with partners and suppliers. Automated warranty campaign and recall management:  Automatically identify equipment and customers impacted by warranty issues and recalls. Continually track campaign status to validate compliance and improve customer satisfaction. Automated part returns:  Automatically determine when parts need to be returned, generate Return Material Authorizations (RMA), track part returns through shipping, receiving and inspection to maximize return rates and minimize return costs. Connected warranty compliance management:  Continually monitor connected product usage to identify potential warranty compliance issues; automatically notify operator when compliance issues occur to avoid potential product failures and warranty issues."
18,Service Diagnostics and Knowledge Management,Perform interactive diagnostics leveraging real-time and trending product information. Capture service provider experience to continually strengthen knowledge base and diagnostics accuracy.,"Case-based diagnostics:  Provide guided diagnostics based on predicted and actual product issues; track product issues to improve diagnostic efficiency and provide feedback to engineering for product improvements. Operator self-service diagnostics:  Provide operator / owner with interactive diagnostics to reduce contact center call volume, improve product uptime and increase customer satisfaction. Connected interactive diagnostics:  Interact with connected products to diagnose product issues and initiate proactive service responses to eliminate unnecessary service calls, avoid product failures and downtime and improve customer satisfaction. Collaborative field knowledge:  Capture field diagnostic sessions and feedback and enable social rating and discussion forums to improve diagnostic accuracy and technician efficiency."
19,Technical and Service Parts Information Creation and Delivery,"Create and manage a trustworthy, up-to-date source of interactive service and part information that represents the latest product introductions and engineering updates.","Component-based technical information management:  Create, manage and publish technical information in self-contained components to improve consistency, accuracy and reuse of technical information, streamline the release of current technical information  to service technicians, and improve the accuracy, time to market and cost of training materials as new products, configurations and features are introduced. Interactive illustrations:  Leverage CAD models to create intelligent and interactive illustrations that increase correct part identification and execution of service procedures, and improve the time to market and cost of training materials as new product, product configurations and features are introduced. Optimize resource pool by providing ondemand learning assets that enable every technician to perform service events that do not require certification. Context-based information management:  Optimize technical and service parts information creation, reuse and change processes by product/system to improve the delivery of information to the service organization. Streamline the consumption of technical and service parts information by organizing context-based information related to product/ system and service events to precisely deliver the information needed. Interactive technical and service part information delivery:  Use interactive graphical navigation of technical and service part information filtered by user role, system configuration, etc. to provide faster part identification and up-to-date service information, and to reduce product downtime. sBOM-based service parts information management:  Create, manage and publish service parts information using eBOM/mBOMs to improve consistency, accuracy and reuse of service part information within and across products; manage changes to part information to streamline the release of current service part information to service technicians. "
20,Service Parts Planning and Pricing,Forecast service part trends and recommend stocking levels and locations based on historical trends and real-time product information. Optimize part profitability through value-based pricing.,"Strategic and tactical service parts planning and optimization:  Balance service level objectives with inventory levels across a complex service network; manage by exception to align actual inventory positions to the planned levels to reduce inventory, repair and operational costs; increase service levels and customer satisfaction. Connected causal forecasting:  Leverage connected product data including configuration, utilization and location to improve balancing of service level objectives with inventory levels. Advance service parts lifecycle planning:  Minimize over-stocking of parts at beginning and end of a product’s lifecycle to lower inventory  and related costs during the life of product and reduce costs for obsoleted parts. K-curve service parts cycle stock planning:  Optimize order frequency and volume by analyzing optimal quantity discounts, capacity availability and fulfillment requests to ensure SLA objectives. Optimized asset sustainability:  Balance equipment uptime with service parts inventory investment to achieve customer SLA obligations. Value-based service parts pricing:  Optimize service parts prices to reflect form/fit/function, interrelated or superseded parts and competitive pressure to balance gross profit and market share goals."
21,Service Logistics and Network Management,"Monitor the ordering, flow and status of service parts across the service network. Preemptively identify and address order and inventory exceptions that could disrupt service events and impact product availability.","Enhanced service network visibility:  View network-wide order and inventory details from all key internal and external service partners in real time, automated or batch feeds, to identify and mitigate exceptions and avoid service disruptions. Comprehensive service network analysis:  Analyze inventory balances, orders responsibilities and transactions throughout the entire service network to improve inventory investment and order efficiencies; take proactive action on issues and exceptions and eliminate waste throughout the service network. Streamlined service order orchestration:  Create and distribute executable orders to appropriate service locations, both enterpriserun and external, including individual orders and coordinated team orders, to reduce time to service, improve product uptime and increase customer satisfaction."
22,Service Order Management and Field Service,Optimize service order events across all service network resources based on part and resource availability to maximize SLA compliance and customer satisfaction.,"Optimized service scheduling / dispatch:  Optimize scheduling of planned and unplanned service events, including all required parts and resources, to improve SLA compliance, first-time fix rates, technician utilization and customer satisfaction. Automated service execution:  Automatically trigger service events based on preemptive connected product alerts, diagnose issues, determine the best service response and dispatch technicians based on SLA entitlements and resource availability to correct issues before actual product failures occur. Extended service pool:  Leverage partner service personnel by assigning tickets to partners for execution to improve SLA compliance, reduce field technician overtime and optimize service event coverage. Connected remote service:  Interact real-time with connected product to perform remote service activities including machine adjustments, software updates and self tests to avoid downtime and eliminate need for on-site service calls."
23,Equipment Monitoring and Lifecycle Management,Continually monitor and capture equipment conditions and event information across the install base. Preemptively detect early indications of potential issues and deliver service recommendations to minimize product failures and downtime.,"Real-time equipment health monitoring:  Provide connected product monitoring to preemptively identify potential product issues and approaching preventive maintenance events. Issue notifications to initiate service responses that minimize downtime and avoid potential product failures. Condition-based maintenance:  Monitor connected product conditions to identify thresholds and trends that indicate potential product failures; automatically initiate service responses to minimize downtime and avoid potential failures. Reliability-centered maintenance:  Optimize preventive maintenance schedules based on actually product reliability and usage information to maximize product availability and minimize cost of ownership. Connected asset and fleet management:  Automatically update product as-maintained configuration, utilization and service history based on connected product data and service events performed across the service network. Analyze asset and fleet history for contract compliance and optimization, deferred and approaching service needs and product upsell and replacement opportunities."
24,Performance Analysis and Feedback,Analyze real-time and historical product and service performance information to enable continual product improvement and service delivery optimization.,"Closed-loop service performance:  Analyze repetitive and no-fault- found service claims to identify service quality issues; provide feedback to improve training, optimize service schedules and reduce service  cycle times. Closed-loop product performance:  Provide product performance feedback to Quality and Engineering for corrective action, continual product improvement and improved product availability. Historic performance trend analysis:  Capture sensor-based equipment data and automatically identify trends that could impact performance. Identify all equipment susceptible to trend and preemptively address issue before actual performance is impacted."
25,Business System Support,"Efficient IT and business support through a focus on standardized, automated and streamlined administrative processes.","System administration:  Streamline processes to easily deploy and configure new application instances, provision cloned environments and promote administrative configuration changes throughout your development, test and production environments to minimize downtime and ensure data integrity. System monitoring and maintenance:  Monitor critical end-user transactions, apply Service Level Agreements (SLAs) and establish performance benchmarks for continuous improvement and historic reporting. Conduct rapid root cause analysis through diagnostics and notifications, minimizing the need to reproduce issues and ensuring high system availability. Business administration:  Quickly provision user accounts and manage group and role memberships to enable all appropriate users to participate in business processes, model application workflows that execute business processes in the system and implement regulatory compliance and corporate data retention policies. Business process monitoring:  Monitor Key Performance Indicators (KPIs) through advanced reporting capabilities that enable custom tailored reports that meet users business needs based on their role  in the organization. Security administration and monitoring:  Provide security administration and monitoring through security audit reports, access control rules and security labels for IP protection. Providing capabilities to establish and adhere to business policies and procedures governing access to information to only privileged individuals. Upgrade and migration:  Streamline upgrade process and migration of product data and business process information to ensure data integrity, minimize downtime, and allow the business to further capitalize on new product improvements. "
26,"Smart, Connected Product Enablement","Enable the organization to securely connect and efficiently create value from smart, connected products through end-to-end IoT solutions.","Flexible IoT product connectivity:  Leverage proven agent technology and connectivity services to easily and flexibly connect to any wired or wireless asset via third-party device clouds, direct network connections, open APIs or edge devices. Scalable IoT data management:  Establish a highly scalable system for complex event processing and data storage to aggregate and manage large volumes of unstructured, time-series and transactional data from people, systems and things. Policy-driven identity and security management:  Provide secure real-time bidirectional communication with devices and ensure compliance with policy management for access control, logging and auditing of interactions with connected products and assets. Seamless IoT business system integration:  Rapidly integrate with business systems and external data sources by bringing together people, systems and connected products using context-aware live collaboration to solve problems faster. Simplified IoT analytics:  Establish rules, business logic and algorithms that analyze and correlate unstructured, time-series and transactional data to optimize business processes and discover new opportunities and insights that answer key business questions. Rapid IoT application development:  Leverage an IoT platform with a model-based development environment to reduce the time, cost and risk required to build and maintain innovative connected applications that differentiate products and provide a competitive edge. Pre-built connected product applications:  Use pre-built remote apps that manage connected products and assets to reduce service costs and visits, improve product performance and enable new service offerings and revenue growth."
